Orsz g;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Albania;617,2304355;336,5869945;200,8522198;367,2792251;586,4161351;750,6044492;1009,977111;717,3800477;813,7893966;1033,242532;1126,68334;1281,659826;1425,124219;1846,120121;2373,581292;2673,787816;2972,743621;3595,038295;4370,539716;4114,134033;4094,349686;4437,141161;4247,631343;4413,063383;4578,633208;3952,803574;4124,05539;4531,032207;5365,489347;5460,428237;5370,778623;6413,283286;6846,426143;8575,171134
Andorra;19563,65747;19533,26207;20099,53522;15916,83952;15748,53075;18443,25452;19130,15972;18247,99957;18536,50843;18875,28837;21810,24874;23511,29515;26528,13016;34063,5784;39021,12781;40829,80188;43467,21099;48336,22833;49132,51571;43975,01837;42746,83095;46657,15612;41500,54358;42470,31612;44369,65969;38654,93472;40129,8192;40672,99433;42819,77458;41257,80458;37361,09007;42425,69968;42414,05901;46812,44845
Austria;21596,06822;22323,13125;24782,71188;23987,20372;25546,24605;30207,06743;29645,94513;26571,75236;27212,46429;27078,70816;24487,29747;24430,49598;26334,86222;32110,11597;36614,25065;38157,37023;40382,20783;46622,96229;51581,39824;47857,44466;46611,13934;51116,89535;48250,40591;50305,35458;51314,97226;43915,22802;45061,49939;47163,74258;51194,07498;49885,99474;48716,40989;53648,71907;52176,66491;56033,57379
Belarus;1706,640919;1805,455925;1658,086413;1589,510113;1460,007914;1370,699914;1452,507105;1396,657187;1511,259791;1210,587439;1276,280381;1244,373185;1479,380663;1819,526531;2378,337005;3126,071767;3848,223503;4735,481076;6376,175692;5352,488092;6034,678852;6527,659343;6953,215917;7998,080205;8341,290143;5967,06856;5039,775609;5785,533977;6360,053101;6837,768321;6542,86454;7489,718947;7994,648061;7829,053137
Belgium;20600,37528;21041,66065;23372,61917;22283,93602;24208,55479;28413,82644;27489,55518;24820,93805;25338,44329;25252,80191;23098,88651;23015,07126;25006,1914;30655,20927;35429,40779;36809,70134;38705,1068;44319,16545;48303,39796;44923,34001;44197,39367;47760,82988;44874,17092;46964,59468;47995,7787;40893,80454;41854,54983;44035,32394;47487,21004;46716,62275;45906,28758;51655,78833;50807,20471;54700,90932
Bulgaria;2366,529821;1267,734375;1211,980878;1278,525114;1148,494399;2259,259226;1470,192593;1361,409384;1820,448664;1659,718611;1621,262107;1770,907049;2092,982886;2719,494369;3389,687434;3899,825963;4523,146558;5888,776852;7271,303389;6988,273163;6863,667068;7857,16707;7430,73738;7687,713682;7912,274844;7078,860323;7570,931655;8381,881346;9436,144799;9838,60059;10198,53883;12274,0776;13644,20158;15885,53913
Bosnia and Herzegovina;1742,882622;1373,371045;1118,175699;929,8721187;337,090896;502,365981;718,9337971;913,8133991;1006,704797;1134,60298;1338,480596;1387,893651;1606,546722;2033,947009;2452,686168;2739,610769;3166,128653;3931,489487;4841,693119;4539,918638;4506,478285;4982,693758;4693,788991;5034,56616;5206,065583;4662,258837;4928,566525;5345,019855;6047,845843;6122,375345;6130,311332;7295,343824;7655,59421;8638,666202
Switzerland;39574,53981;39544,49468;40713,68815;39237,11866;43091,7771;50113,83212;48092,6433;41584,44178;42680,58673;41695,69129;38865,02194;39638,79111;42458,73847;49335,74563;54659,45715;56242,89336;59011,03246;64989,15533;74175,19279;71568,31239;76531,37294;90476,75897;85836,20768;87304,33058;88724,99094;83806,4476;82153,07454;82254,37693;85217,36915;84121,93103;85897,78433;93446,43445;93245,79521;99564,71003
Cyprus;9641,575195;9696,099609;11310,07227;10526,1416;11617,69238;15261,41699;15139,2207;14234,24121;15092,82813;15287,91797;14388,35254;14821,44922;16093,21582;20252,24609;23792,61914;24959,26172;26729,28125;31244,87891;35397,29688;32236,44922;31105,02734;32485,79688;28991,93555;27797,45703;27244,35156;23487,22852;24715,1543;26696,99023;29599,98633;29703,05273;28649,01563;33734,29297;33938,94531;36551,41797
Czechia;3969,367335;2917,086555;3396,709724;3984,146344;4663,286653;5865,294606;6573,196431;6069,387624;6526,596358;6377,621108;6062,921528;6669,074948;8101,260186;9852,456779;11782,55467;13442,49163;15259,07882;18452,65328;22774,70451;19817,42158;20160,43551;22049,10808;20014,0354;20260,4955;20038,41632;17931,59877;18753,96867;20913,19763;23705,93298;24062,719;23472,89155;27696,46195;28282,22367;31591,17707
Germany;22385,67783;23443,33508;26559,85439;25616,65088;27201,95936;31747,24494;30599,7891;27046,95655;27395,94406;26965,49228;23925,85599;23878,36415;25486,5942;30711,10225;34566,73591;35084,43635;36980,33499;42350,92172;46386,32959;42487,21371;42409,9357;47646,58204;44735,58823;47220,01021;48971,08247;41911,01099;42961,03569;45526,59996;48874,8595;47623,86561;47379,76519;52265,65416;49686,11546;54343,22651
Denmark;26885,69942;27002,80577;29579,49136;27581,72411;29967,83039;35321,09808;35621,98781;32779,87905;33346,48843;33426,23811;30722,02518;30768,47755;33257,16226;40519,09749;46625,0501;48925,80767;52119,1788;58631,65664;64616,66576;58412,74724;58104,54456;61809,7379;58443,77471;61377,59406;62520,45097;53094,01336;54500,92604;57521,5515;61324,7665;59404,26632;60985,48856;69727,98737;68091,31911;68453,87693
Finland;28366,20428;25488,84505;22320,11247;17588,67817;20278,2911;26246,27432;25756,67771;24682,29083;25999,98617;26180,41286;24335,92251;24965,203;26989,38926;32920,08572;37768,13342;39049,87038;41214,01878;48473,02401;53769,47262;47478,34953;46506,2919;51060,32426;47551,67408;49691,01452;50073,77608;42560,34568;43451,25624;46085,01747;49654,2497;48358,18078;48828,68469;53099,13514;50438,4754;52925,68976
France;21586,46746;21500,77784;23615,01686;22238,82506;23359,89851;26791,8152;26757,63515;24169,40081;24869,40308;24576,31523;22340,59395;22331,79483;24144,5727;29479,52221;33644,92822;34696,37183;36431,56589;41486,19078;45464,81814;41728,08842;40694,82117;43929,78409;40863,58144;42669,17951;43148,04593;36702,43237;37024,21571;38687,16264;41418,17665;40408,28486;39169,8606;43725,09995;41082,81193;44690,93454
Spain;13795,01594;14801,32262;16100,67994;13330,37982;13405,70441;15460,91103;16100,62158;14722,37176;15382,33486;15707,94731;14743,2671;15368,2338;17111,06851;21522,0171;24925,02678;26450,95301;28421,68653;32652,01559;35603,24833;32279,82085;30658,74223;31824,62191;28456,44382;29218,91052;29694,88749;25969,83831;26740,68518;28367,93926;30592,12648;29776,20115;27230,35999;30817,68286;30287,36576;33509,0128
Greece;9466,662385;10046,66639;11021,01222;10257,30858;10937,02238;12779,08149;13432,52622;13015,9175;13022,96488;12742,54044;11638,20107;12156,95728;13782,19564;18020,61204;21449,25528;22054,13158;24416,0233;28440,76253;31695,83311;29425,45732;26653,0488;25504,78665;21624,34605;21573,34498;21474,72571;17980,72982;17919,24264;18631,99301;19873,40152;19335,3602;17886,73317;20654,7002;20971,83493;23400,72788
Croatia;5369,109786;4000,916774;2321,152041;2447,503191;3237,926463;4929,057722;5299,641054;5331,023439;5712,589857;5269,033946;4953,651588;5364,838247;6219,581641;8190,111352;9718,973228;10443,52784;11502,75312;13757,60565;15889,43471;14475,96329;13731,28652;14694,99932;13508,6837;14136,39677;14187,96945;12285,30326;12821,17381;13902,63105;15460,41833;15563,81674;14808,46202;17789,93047;18466,09555;21865,45628
Hungary;3312,698238;3350,258323;3735,10582;3873,987723;4173,373024;4494,707624;4525,039103;4596,182622;4744,212264;4793,478522;4624,281657;5276,033189;6655,333009;8419,430871;10301,70339;11223,3993;11489,56087;13940,90928;15772,33008;13077,30547;13217,5046;14234,47158;12984,83657;13715,07036;14294,25842;12717,0386;13104,69955;14621,2396;16425,20503;16786,21364;16131,95404;18755,10235;18353,29836;22141,86698
Ireland;14031,30257;14087,2078;15714,38475;14657,06155;15902,92968;19158,45648;20835,89737;22551,11391;24294,85477;26338,10775;26334,56721;28282,40988;32705,43456;41203,52958;47754,20232;50933,02161;54329,16186;61396,41746;61353,10656;52133,09092;48679,40268;52692,78131;49411,73875;52619,21237;57278,25909;64311,82347;64292,65997;72499,32687;81248,31354;82508,46599;87567,1149;105561,1375;106194,7559;103887,8004
Iceland;25384,91502;26802,98952;27124,27454;23579,79536;24018,6314;26633,59138;27614,87703;27919,1855;31030,0536;32381,62524;32096,37226;28897,44394;32409,21615;39476,69785;47334,93065;56794,85016;57492,93425;69495,72674;56943,37045;41301,27322;43237,07295;47714,59223;45995,54788;49804,983;54576,74481;52951,68151;61987,92636;72010,14903;74452,18907;68452,23622;59023,56635;69325,90783;75314,08556;79636,95486
Italy;20873,78341;22007,1351;23297,04603;18781,95294;19382,20022;20712,17987;23122,93372;21883,98727;22365,18376;22049,99906;20190,00356;20571,47877;22463,52221;27618,94177;31425,82087;32171,79337;33684,72004;38031,97095;41095,40634;37388,45371;36184,71187;38851,38813;35235,79891;35747,70795;35750,71975;30387,12932;31126,32469;32554,14668;34746,34414;33812,78872;32091,48666;36852,54254;35635,74422;39003,3161
Liechtenstein;49457,56093;50811,74645;55057,11106;55604,548;63935,99024;78909,70434;80688,71825;73590,86203;78302,99059;82682,28488;76087,91111;75067,80017;79795,17859;90108,36736;100280,8314;105295,057;114167,9392;130492,5953;143249,2273;126024,7146;141089,8128;158066,3694;148842,0351;172823,6078;178735,153;167187,1573;165375,4914;170547,0923;174988,7751;166907,8393;164671,0936;196783,7294;186400,2338;178192,4
Luxembourg;33465,47821;35747,3378;39570,86157;40066,72425;43933,23544;51032,34964;50444,35912;46641,64088;47445,38108;50872,44927;48659,59888;48440,14202;53005,73392;65689,32145;76544,91709;80988,13762;90788,80049;107475,3203;120422,1379;109419,747;110885,9914;119025,0572;112584,6763;120000,1407;123678,7021;105462,0126;106899,2935;110193,2138;116786,5117;112726,4397;116905,3704;133711,7944;125006,0218;128678,1899
Moldova;1206,502087;1037,899503;778,0176674;796,989285;573,7986472;593,593177;575,1454551;657,2921346;578,7346276;399,4998186;440,538684;507,4040763;570,7998662;682,319096;897,1784947;1034,391977;1183,024814;1531,216186;2110,553054;1898,439757;2436,799351;2941,362241;3044,808432;3321,043978;3289,957586;2749,551371;2847,087948;3453,267277;4156,44982;4405,334182;4375,778893;5274,605822;5738,424735;6729,412868
Malta;7192,394102;7558,754389;8220,339253;7296,354359;8000,342436;9828,23236;10061,69524;9893,309297;10408,06199;10609,19472;10348,48655;10357,70404;11251,20609;13593,9742;15212,12674;15831,34405;16653,60718;19444,1875;22315,31986;21176,31124;21946,60697;23516,96912;22878,31309;25346,52365;27356,60803;25481,89776;26409,62859;30259,39526;33332,19056;32412,26978;31796,82134;38027,38017;36142,20585;40395,76921
Netherlands;21322,19448;21764,2145;23939,21735;23156,44044;24682,58667;29301,19405;29063,62365;26744,96013;27924,28181;28318,74665;26225,16977;26955,7128;29446,53309;35896,75046;40611,34144;42165,39617;45123,54324;52100,79963;58246,70269;53172,02616;51305,73385;54701,7728;50473,9442;52602,28605;53457,22349;45793,81354;46808,52915;49513,68173;53955,077;53554,90075;53467,92774;60141,98809;59123,31856;64572,00596
Norway;28242,9814;28596,933;30523,98506;27963,69791;29315,80923;34875,70433;37321,9742;36629,0309;34803,46341;36393,29275;38178,23688;38601,89764;43170,55717;50250,32982;57768,6981;67047,17046;74434,49968;85502,26771;97503,54078;80347,57007;88163,20859;101221,8135;102175,9193;103553,8401;97666,69518;74809,9658;70867,361;76131,8384;82792,84271;76430,58895;68340,0181;93072,89251;108798,4512;87925,09442
Poland;1731,209509;2235,541089;2459,020685;2497,130559;2874,831636;3700,959568;4163,511954;4137,008318;4533,535655;4415,500675;4520,641004;5015,2379;5223,45179;5720,813662;6711,727153;8043,923323;9068,855283;11272,52937;14048,56047;11556,30269;12567,73177;13867,66694;13087,42094;13621,90238;14262,28419;12637,52203;12464,01105;13913,34029;15658,21203;15874,52205;15987,57537;18635,51049;18891,21212;22056,66617
Portugal;7884,617988;8958,985333;10810,56651;9534,656364;9977,319909;11781,36185;12185,0914;11575,50711;12199,20639;12475,29177;11526,37207;11734,76497;12936,69282;15797,78213;18064,15809;18780,12751;19839,45405;22811,05648;24949,04136;23151,21541;22551,9351;23246,54254;20593,42742;21676,48596;22120,68501;19215,7813;19980,28089;21442,38428;23541,14011;23343,3629;22299,40441;24711,45101;24620,51956;27331,20949
Romania;1648,48523;1254,312442;1102,103785;1158,056328;1323,032378;1650,049224;1633,010644;1577,33656;1852,554969;1599,906228;1659,929049;1825,192994;2119,855097;2679,40626;3494,990564;4618,003508;5757,531273;8360,337759;10435,15612;8548,454341;8399,537423;9560,675528;8929,953662;9497,674116;10031,77108;8977,017482;9404,540059;10727,9822;12502,26241;12992,03261;13082,30066;14986,78549;15557,88262;18404,27309
Slovak Republic;2437,17517;2726,593055;2959,336449;3143,101431;3820,964275;4882,511582;5247,70081;5172,417575;5560,916178;5651,623275;5421,644844;5712,478028;6554,628084;8675,396337;10650,12901;11641,54103;13167,89547;16110,48173;18744,31923;16586,75278;16899,44868;18469,43543;17516,96911;18312,78051;18770,92899;16442,07609;16636,07691;17645,52987;19573,3717;19406,05897;19735,48583;22138,19498;21342,76667;24491,37719
Slovenia;9925,14071;7229,311498;7151,152438;7254,588874;8243,898955;10738,08876;10796,73994;10436,72607;11131,56666;11401,49068;10135,72191;10375,62559;11639,12978;14711,67487;17103,82978;17969,70959;19563,00506;23725,1596;27461,97642;24501,78973;23329,84177;24940,62848;22442,14179;23236,96553;24013,06821;20697,27485;21447,83778;23303,07771;25888,04811;25814,16872;25392,06511;29187,36938;28373,83823;32610,11092
Sweden;30549,66928;31777,0328;32753,8047;24390,1538;26045,81489;30254,29729;33022,56495;30324,45109;30605,62272;30969,10335;29632,77361;27259,48067;29957,93877;37292,42143;42758,20155;43378,61521;46531,60011;53568,56455;55817,43927;46707,86732;52542,82741;60379,77482;57749,82513;60844,27671;59583,714;51197,95293;51820,39725;53300,85873;54181,90698;51773,04646;52653,75659;61174,96802;55296,93715;55516,83648
Ukraine;1563,634155;1482,639648;1413,240112;1254,028687;1009,093567;933,1917725;869,8460693;987,4898071;831,336792;631,9104614;653,2943115;800,4907227;903,0119019;1076,481567;1401,018066;1875,335083;2366,494141;3160,327637;4017,806641;2607,087646;3039,632324;3656,697998;3951,342285;4129,896973;3054,908203;2094,473877;2158,461182;2604,287598;3059,051758;3619,861572;3709,769287;4775,945801;4199,670898;5069,703125
United Kingdom;19095,467;19900,72665;20487,17079;18389,01957;19709,2381;23168,95296;24406,4003;26766,00562;28274,50451;28762,09136;28280,92679;27906,5695;30077,74143;34442,68754;40366,88867;42104,78844;44512,45903;50397,6855;47396,12021;38744,13169;39598,95712;42109,64188;42497,3405;43426,29814;47439,61659;44964,39114;40985,23514;40572,12148;43203,81411;42662,53537;40201,68124;46896,86624;45935,92765;49463,85546
